iteration,wins_p1,wins_p2,draws,total_games,winrate_p1,winrate_p2,draw_rate,epsilon
0,426,64,10,500,0.852,0.128,0.02,0
1,275,136,89,500,0.55,0.272,0.178,0.0
0,416,71,13,500,0.832,0.142,0.026,0
1,252,244,4,500,0.504,0.488,0.008,0.0
2,474,20,6,500,0.948,0.04,0.012,0.0
3,112,388,0,500,0.224,0.776,0.0,0.0
4,468,27,5,500,0.936,0.054,0.01,0.0
5,247,205,48,500,0.494,0.41,0.096,0.0
6,357,54,89,500,0.714,0.108,0.178,0.0
7,355,19,126,500,0.71,0.038,0.252,0.0
8,329,131,40,500,0.658,0.262,0.08,0.0
9,352,120,28,500,0.704,0.24,0.056,0.0
10,383,42,75,500,0.766,0.084,0.15,0.0
11,365,52,83,500,0.73,0.104,0.166,0.0
12,200,290,10,500,0.4,0.58,0.02,0.0
13,84,289,127,500,0.168,0.578,0.254,0.0
14,432,55,13,500,0.864,0.11,0.026,0.0
15,239,140,121,500,0.478,0.28,0.242,0.0
16,174,140,186,500,0.348,0.28,0.372,0.0
17,142,136,222,500,0.284,0.272,0.444,0.0
18,388,101,11,500,0.776,0.202,0.022,0.0
19,289,49,162,500,0.578,0.098,0.324,0.0
0,317,135,48,500,0.634,0.27,0.096,0
1,360,54,86,500,0.72,0.108,0.172,0.0
2,169,200,131,500,0.338,0.4,0.262,0.0
3,265,187,48,500,0.53,0.374,0.096,0.0
4,240,126,134,500,0.48,0.252,0.268,0.0
5,191,284,25,500,0.382,0.568,0.05,0.0
6,376,110,14,500,0.752,0.22,0.028,0.0
7,246,189,65,500,0.492,0.378,0.13,0.0
8,69,214,217,500,0.138,0.428,0.434,0.0
9,46,361,93,500,0.092,0.722,0.186,0.0
10,273,99,128,500,0.546,0.198,0.256,0.0
11,442,8,50,500,0.884,0.016,0.1,0.0
12,165,63,272,500,0.33,0.126,0.544,0.0
13,188,19,293,500,0.376,0.038,0.586,0.0
14,492,5,3,500,0.984,0.01,0.006,0.0
0,249,206,45,500,0.498,0.412,0.09,0
1,251,218,31,500,0.502,0.436,0.062,0.0
2,231,256,13,500,0.462,0.512,0.026,0.0
3,174,245,81,500,0.348,0.49,0.162,0.0
4,69,405,26,500,0.138,0.81,0.052,0.0
5,41,2,457,500,0.082,0.004,0.914,0.0
6,104,218,178,500,0.208,0.436,0.356,0.0
7,429,23,48,500,0.858,0.046,0.096,0.0
8,287,166,47,500,0.574,0.332,0.094,0.0
9,355,125,20,500,0.71,0.25,0.04,0.0
10,268,77,155,500,0.536,0.154,0.31,0.0
11,352,80,68,500,0.704,0.16,0.136,0.0
12,72,425,3,500,0.144,0.85,0.006,0.0
13,91,400,9,500,0.182,0.8,0.018,0.0
14,175,308,17,500,0.35,0.616,0.034,0.0
0,252,225,23,500,0.504,0.45,0.046,0
1,259,200,41,500,0.518,0.4,0.082,0.0
2,367,102,31,500,0.734,0.204,0.062,0.0
3,360,133,7,500,0.72,0.266,0.014,0.0
4,376,118,6,500,0.752,0.236,0.012,0.0
5,315,177,8,500,0.63,0.354,0.016,0.0
6,363,133,4,500,0.726,0.266,0.008,0.0
7,326,156,18,500,0.652,0.312,0.036,0.0
8,250,241,9,500,0.5,0.482,0.018,0.0
9,150,349,1,500,0.3,0.698,0.002,0.0
10,378,120,2,500,0.756,0.24,0.004,0.0
11,88,412,0,500,0.176,0.824,0.0,0.0
12,360,129,11,500,0.72,0.258,0.022,0.0
13,316,172,12,500,0.632,0.344,0.024,0.0
14,386,102,12,500,0.772,0.204,0.024,0.0
0,347,103,50,500,0.694,0.206,0.1,0
1,357,100,43,500,0.714,0.2,0.086,0.0
2,413,74,13,500,0.826,0.148,0.026,0.0
3,366,126,8,500,0.732,0.252,0.016,0.0
4,314,165,21,500,0.628,0.33,0.042,0.0
5,215,276,9,500,0.43,0.552,0.018,0.0
6,283,200,17,500,0.566,0.4,0.034,0.0
7,465,35,0,500,0.93,0.07,0.0,0.0
8,263,219,18,500,0.526,0.438,0.036,0.0
9,196,263,41,500,0.392,0.526,0.082,0.0
10,365,121,14,500,0.73,0.242,0.028,0.0
11,35,465,0,500,0.07,0.93,0.0,0.0
12,237,258,5,500,0.474,0.516,0.01,0.0
13,413,86,1,500,0.826,0.172,0.002,0.0
14,291,205,4,500,0.582,0.41,0.008,0.0
